round;screen;date;advance;chainage;drill_type;total_drillmeters;start_drilling;end_drilling;totel_time;capacity;screen_length_m;inleakage_l_per_min;otv;deviation_measurement;otv_comment;start_pumping;end_pumpping;injection_pressure;cement_type;injection_volume_litres;injection_qty_kg;superplastisizer_qty;accelerator_qty;packers
1;;20.12.2023;11;194.8;Injection;528.0;20.12.2023 13:56;21.12.2023 13:56;24.0;22.0;24.0;0.0;No;;No equipment;20.12.2023 17:43;20.12.2023 23:32;;Norcem Micro;3547.0;3015.0;31.0;;22.0
2;;02.01.2024;15;202.0;Injection;552.0;21.12.2023 20:01;22.12.2023 13:10;17.2;32.2;24.0;0.0;No;;No equipment;02.01.2024 10:14;03.01.2024 02:00;;Norcem Micro;13633.0;10833.7;114.2;87.9;23.0
3;;05.01.2024;19;209.2;Injection;504.0;05.01.2024 07:48;05.01.2024 19:48;12.0;42.0;24.0;0.0;No;;No equipment;05.01.2024 20:45;06.01.2024 14:54;;Norcem Micro;12810.0;10273.9;117.8;324.6;21.0
4;;08.01.2024;23;216.4;Injection;552.0;08.01.2024 18:30;09.01.2024 02:30;8.0;69.0;24.0;0.0;No;;No equipment;09.01.2024 03:37;10.01.2024 01:00;;Norcem Micro;9578.0;7046.6;86.2;206.6;23.0
5;;10.01.2024;27;223.6;Injection;451.5;10.01.2024 19:15;11.01.2024 02:45;7.5;60.2;24.0;3.0;Yes;;;11.01.2024 04:46;11.01.2024 14:43;;Norcem Micro;9944.0;8661.8;107.4;0.0;19.0
6;;12.01.2024;31;230.8;Injection;576.0;12.01.2024 01:00;12.01.2024 09:00;8.0;72.0;24.0;3.0;Yes;;;12.01.2024 10:51;12.01.2024 17:41;;Norcem Micro;8153.0;6465.4;75.4;0.0;24.0
7;;13.01.2024;35;238.0;Injection;408.0;13.01.2024 04:00;13.01.2024 13:30;9.5;42.9;24.0;7.0;No;;Unknown;13.01.2024 14:13;13.01.2024 20:26;;Norcem Micro;10811.0;7306.2;76.0;12.9;17.0
8;;14.01.2024;37;241.6;Injection;480.0;14.01.2024 13:00;14.01.2024 20:30;7.5;64.0;24.0;7.0;No;;Unknown;15.01.2024 06:41;15.01.2024 15:15;;Norcem Micro;11122.0;9150.6;94.0;0.0;20.0
9;;16.01.2024;41;248.8;Injection;432.0;16.01.2024 15:40;16.01.2024 23:40;8.0;54.0;24.0;0.0;Yes;;;17.01.2024 04:12;17.01.2024 10:50;;Norcem Micro;7317.0;6362.1;718.1;0.0;18.0
10.1;1;18.01.2024;45;256.0;Injection;216.0;18.01.2024 08:00;18.01.2024 18:00;10.0;21.6;24.0;0.0;Yes;;;18.01.2024 21:38;19.01.2024 01:38;;Norcem Micro;3067.0;2297.1;676.8;0.0;9.0
10.2;2;19.01.2024;45;256.0;Injection;240.0;19.01.2024 04:50;19.01.2024 08:00;3.2;75.8;24.0;0.0;Yes;;;19.01.2024 08:56;19.01.2024 11:40;;Norcem Micro;3414.0;3041.8;30.4;89.3;9.0
11.1;1;29.01.2024;46;257.8;Injection;283.0;27.01.2024 11:00;29.01.2024 07:00;44.0;17.2;24.0;1.8;Yes;;;29.01.2024 08:46;29.01.2024 15:27;;Norcem Micro;7450.0;6041.7;62.4;80.0;12.0
11.2;2;31.01.2024;46;257.8;Injection;264.0;30.01.2024 07:00;30.01.2024 11:30;4.5;58.7;24.0;1.8;Yes;;;31.01.2024 07:14;31.01.2024 12:03;;Norcem Micro;6928.0;5803.3;62.5;162.9;23.0
12;;02.02.2024;49;263.2;Injection;552.0;01.02.2024 16:00;02.02.2024 08:00;16.0;34.5;24.0;0.0;Yes;;;02.02.2024 10:31;02.02.2024 20:04;;Norcem Micro;8042.0;6502.4;65.0;105.0;23.0
13;;05.02.2024;53;270.4;Injection;528.0;03.02.2024 19:30;04.02.2024 19:30;24.0;22.0;24.0;0.0;Yes;;;05.02.2024 07:47;05.02.2024 14:50;;Norcem Micro;9437.0;6207.9;69.8;319.0;24.0
14;;06.02.2024;57;277.6;Injection;576.0;06.02.2024 00:30;06.02.2024 10:00;9.5;60.6;24.0;4.0;No;;Lack of staff;06.02.2024 11:22;06.02.2024 22:59;;Norcem Micro;14607.0;10493.7;119.8;595.2;21.0
15;;08.02.2024;61;284.8;Injection;504.0;07.02.2024 15:38;07.02.2024 22:20;6.7;75.2;24.0;70.0;No;;Collapsed borehole;07.02.2024 23:55;08.02.2024 08:24;;Norcem Micro;19089.0;15230.6;159.2;605.8;15.0
16.1;1;09.02.2024;63;288.4;Injection;360.0;08.02.2024 08:30;08.02.2024 22:50;14.3;25.1;24.0;50.0;Yes;;;09.02.2024 00:33;09.02.2024 11:18;;Norcem Micro;13789.0;10824.8;115.0;474.6;15.0
16.2;2;10.02.2024;63;288.4;Injection;504.0;09.02.2024 13:50;09.02.2024 20:00;6.2;81.7;24.0;50.0;Yes;;;09.02.2024 21:16;10.02.2024 00:35;;Norcem Micro;3937.0;3045.4;31.0;145.3;6.0
