chainage;advance;ring;easting;northing;tunnel_elev;surface_elev;soil_base_elev;soil_depth;lon;lat;tunnel_dir
175.01;0;13;119707.45;1214613.12;-1.62;95.18;79.06;16.16;10.852452570145;59.926141123204;305.42
176.81;1;14;119705.99;1214614.17;-1.62;95.17;78.46;16.68;10.852426350949;59.926150574563;305.42
178.61;2;15;119704.52;1214615.21;-1.61;95.15;77.29;17.76;10.852400129965;59.926160025922;305.42
180.41;3;16;119703.05;1214616.25;-1.61;95.08;76.68;18.32;10.852373910768;59.926169477281;305.42
182.21;4;17;119701.59;1214617.30;-1.61;95.05;75.52;19.48;10.852347691571;59.926178927735;305.42
184.01;5;18;119700.12;1214618.34;-1.61;94.99;74.89;20.11;10.852321470587;59.926188379094;305.42
185.81;6;19;119698.65;1214619.38;-1.61;94.91;73.50;21.47;10.852295251390;59.926197830453;305.42
187.61;7;20;119697.19;1214620.42;-1.60;94.78;72.90;22.02;10.852269032194;59.926207280906;305.42
189.41;8;21;119695.72;1214621.47;-1.60;94.68;71.79;23.09;10.852242811210;59.926216732265;305.42
191.21;9;22;119694.25;1214622.51;-1.60;94.60;71.20;23.63;10.852216592013;59.926226183624;305.42
193.01;10;23;119692.79;1214623.55;-1.60;94.57;70.08;24.71;10.852190372816;59.926235634077;305.42
194.81;11;24;119691.32;1214624.60;-1.60;94.54;69.48;25.26;10.852164153619;59.926245085436;305.42
196.61;12;25;119689.85;1214625.64;-1.60;94.52;68.88;25.81;10.852137932635;59.926254536795;305.42
198.41;13;26;119688.39;1214626.68;-1.59;94.47;67.84;26.80;10.852111713439;59.926263987248;305.42
200.21;14;27;119686.92;1214627.73;-1.59;94.44;67.37;27.22;10.852085494242;59.926273438607;305.42
202.01;15;28;119685.45;1214628.77;-1.59;94.33;66.36;28.19;10.852059273258;59.926282889966;305.42
203.81;16;29;119683.99;1214629.81;-1.59;94.34;65.84;28.66;10.852033054061;59.926292340419;305.42
205.61;17;30;119682.52;1214630.86;-1.59;94.30;64.81;29.64;10.852006834864;59.926301791778;305.42
207.41;18;31;119681.05;1214631.90;-1.58;94.26;64.29;30.11;10.851980613880;59.926311243137;305.42
209.21;19;32;119679.58;1214632.94;-1.58;94.23;63.29;31.05;10.851954394684;59.926320693590;305.42
211.01;20;33;119678.12;1214633.99;-1.58;94.17;62.78;31.52;10.851928175487;59.926330144949;305.42
212.81;21;34;119676.65;1214635.03;-1.58;94.15;61.74;32.50;10.851901956290;59.926339596309;305.42
214.61;22;35;119675.18;1214636.07;-1.58;94.09;61.27;32.93;10.851875735306;59.926349046762;305.42
216.41;23;36;119673.72;1214637.12;-1.57;94.06;60.32;33.82;10.851849516109;59.926358498121;305.42
218.21;24;37;119672.25;1214638.16;-1.57;94.06;59.94;34.15;10.851823296913;59.926367949480;305.42
220.01;25;38;119670.78;1214639.20;-1.57;94.02;59.36;34.68;10.851797075928;59.926377399933;305.42
221.81;26;39;119669.32;1214640.25;-1.57;94.00;58.96;35.04;10.851770856732;59.926386851292;305.42
223.61;27;40;119667.85;1214641.29;-1.57;93.95;58.53;35.44;10.851744637535;59.926396302651;305.42
225.41;28;41;119666.38;1214642.33;-1.57;93.92;57.67;36.24;10.851718416551;59.926405753104;305.42
227.21;29;42;119664.92;1214643.38;-1.56;93.90;57.23;36.62;10.851692197354;59.926415204463;305.42
229.01;30;43;119663.45;1214644.42;-1.56;93.87;56.48;37.32;10.851665978157;59.926424655822;305.42
230.81;31;44;119661.98;1214645.46;-1.56;93.83;56.09;37.64;10.851639758961;59.926434106275;305.42
232.61;32;45;119660.52;1214646.51;-1.56;93.81;55.35;38.34;10.851613537977;59.926443557634;305.42
234.41;33;46;119659.05;1214647.55;-1.56;93.79;54.90;38.73;10.851587318780;59.926453008993;305.42
236.21;34;47;119657.58;1214648.59;-1.55;93.76;54.03;39.55;10.851561099583;59.926462459446;305.42
238.01;35;48;119656.12;1214649.64;-1.55;93.72;53.57;39.96;10.851534878599;59.926471910805;305.42
239.81;36;49;119654.65;1214650.68;-1.55;93.65;52.69;40.79;10.851508659402;59.926481362164;305.42
241.61;37;50;119653.18;1214651.72;-1.55;93.65;52.24;41.20;10.851482440206;59.926490812618;305.42
243.41;38;51;119651.71;1214652.77;-1.55;93.64;51.39;41.99;10.851456219222;59.926500263977;305.42
245.21;39;52;119650.25;1214653.81;-1.54;93.63;51.06;42.27;10.851430000025;59.926509715336;305.42
247.01;40;53;119648.78;1214654.85;-1.54;93.63;50.17;43.11;10.851403780828;59.926519165789;305.42
248.81;41;54;119647.31;1214655.90;-1.54;93.59;49.68;43.54;10.851377561631;59.926528617148;305.42
250.61;42;55;119645.85;1214656.94;-1.54;93.53;49.21;43.96;10.851351340647;59.926538068507;305.42
252.41;43;56;119644.38;1214657.98;-1.54;93.51;48.25;44.87;10.851325121451;59.926547518960;305.42
254.21;44;57;119642.91;1214659.03;-1.54;93.49;47.77;45.30;10.851298902254;59.926556970319;305.42
256.01;45;58;119641.45;1214660.07;-1.53;93.45;46.85;46.16;10.851272668757;59.926566411713;305.38
257.81;46;59;119639.98;1214661.11;-1.53;93.42;46.37;46.63;10.851246401298;59.926575829553;305.28
259.61;47;60;119638.51;1214662.14;-1.53;93.43;45.27;47.73;10.851220101663;59.926585222934;305.17
261.41;48;61;119637.03;1214663.18;-1.53;93.41;44.72;48.28;10.851193769853;59.926594593667;305.08
263.21;49;62;119635.56;1214664.21;-1.52;93.40;43.52;49.48;10.851167404081;59.926603939941;304.97
265.01;50;63;119634.08;1214665.24;-1.52;93.38;42.78;50.22;10.851141004346;59.926613261754;304.87
266.81;51;64;119632.60;1214666.27;-1.51;93.35;41.35;51.65;10.851114572435;59.926622559109;304.76
268.61;52;65;119631.12;1214667.29;-1.51;93.31;40.65;52.35;10.851088106562;59.926631832004;304.66
270.41;53;66;119629.64;1214668.31;-1.50;93.26;39.16;53.84;10.851061608514;59.926641081345;304.56
272.21;54;67;119628.15;1214669.33;-1.49;93.23;38.30;54.70;10.851035080078;59.926650307132;304.46
274.01;55;68;119626.67;1214670.34;-1.48;93.17;36.63;56.37;10.851008515892;59.926659508460;304.35
275.81;56;69;119625.18;1214671.36;-1.48;93.13;35.79;57.21;10.850981919531;59.926668684422;304.25
277.61;57;70;119623.69;1214672.37;-1.47;93.11;35.01;57.99;10.850955290994;59.926677836831;304.14
279.41;58;71;119622.20;1214673.38;-1.46;93.06;33.74;59.26;10.850928630282;59.926686965686;304.04
281.21;59;72;119620.71;1214674.38;-1.45;93.05;33.10;59.90;10.850901937396;59.926696070082;303.94
283.01;60;73;119619.21;1214675.38;-1.45;93.02;31.54;61.47;10.850875210546;59.926705149112;303.83
284.81;61;74;119617.71;1214676.38;-1.44;93.00;23.02;69.98;10.850848451521;59.926714203682;303.73
286.61;62;75;119616.22;1214677.38;-1.43;92.98;16.37;76.63;10.850821662109;59.926723234699;303.63
288.41;63;76;119614.71;1214678.37;-1.42;92.98;14.65;78.35;10.850794840522;59.926732240350;303.52
290.21;64;77;119613.21;1214679.36;-1.42;92.97;12.19;80.81;10.850767986759;59.926741222448;303.42
292.01;65;78;119611.71;1214680.35;-1.41;93.01;12.16;80.91;10.850741100821;59.926750180086;303.32
293.81;66;79;119610.20;1214681.34;-1.40;93.06;12.11;81.05;10.850714182708;59.926759112359;303.22
295.61;67;80;119608.69;1214682.32;-1.40;93.00;12.07;81.17;10.850687232420;59.926768020172;303.11
297.41;68;81;119607.19;1214683.30;-1.39;92.99;12.03;81.29;10.850660251744;59.926776903525;303.01
299.21;69;82;119605.67;1214684.28;-1.38;92.99;12.65;80.75;10.850633240680;59.926785763325;302.91
301.01;70;83;119604.16;1214685.26;-1.37;92.98;13.34;80.14;10.850606195654;59.926794597759;302.80
302.81;71;84;119602.65;1214686.23;-1.37;93.08;13.64;79.93;10.850579120240;59.926803406828;302.70
304.61;72;85;119601.13;1214687.20;-1.36;93.14;14.90;78.75;10.850552014438;59.926812191437;302.60
306.41;73;86;119599.61;1214688.17;-1.35;93.18;15.89;77.85;10.850524876461;59.926820951587;302.49
308.21;74;87;119598.09;1214689.13;-1.34;93.36;18.20;75.63;10.850497708097;59.926829687277;302.39
310.01;75;88;119596.57;1214690.09;-1.34;93.43;21.28;72.64;10.850470509345;59.926838397602;302.29
311.81;76;89;119595.05;1214691.05;-1.33;93.77;24.61;69.38;10.850443278417;59.926847082561;302.18
313.61;77;90;119593.52;1214692.01;-1.32;93.91;24.34;69.86;10.850416015315;59.926855743966;302.08
315.41;78;91;119592.00;1214692.96;-1.31;94.34;23.77;70.70;10.850388723612;59.926864380006;301.98
317.21;79;92;119590.47;1214693.91;-1.31;94.48;23.51;71.18;10.850361401522;59.926872991587;301.88
319.01;80;93;119588.94;1214694.86;-1.30;94.91;23.29;71.64;10.850334049044;59.926881577802;301.77
320.81;81;94;119587.40;1214695.80;-1.29;94.97;22.76;72.24;10.850306664390;59.926890137746;301.67
322.61;82;95;119585.87;1214696.75;-1.28;95.09;21.69;73.31;10.850279251137;59.926898674135;301.57
324.41;83;96;119584.34;1214697.68;-1.28;95.02;21.20;73.80;10.850251805709;59.926907185160;301.46
326.21;84;97;119582.80;1214698.62;-1.27;94.95;20.13;74.78;10.850224331680;59.926915671725;301.36
328.01;85;98;119581.26;1214699.56;-1.26;94.77;19.86;74.95;10.850196827264;59.926924132924;301.26
329.81;86;99;119579.72;1214700.49;-1.25;94.64;19.28;75.42;10.850169292459;59.926932567852;301.15
331.61;87;100;119578.18;1214701.42;-1.25;94.48;19.15;75.45;10.850141727268;59.926940979227;301.05
333.41;88;101;119576.63;1214702.34;-1.24;94.38;18.95;75.54;10.850114133476;59.926949364330;300.95
335.21;89;102;119575.09;1214703.26;-1.23;94.26;18.85;75.53;10.850086509296;59.926957725879;300.85
337.01;90;103;119573.54;1214704.18;-1.23;94.17;18.64;75.62;10.850058856517;59.926966061157;300.74
338.81;91;104;119571.99;1214705.10;-1.22;94.18;18.55;75.61;10.850031171562;59.926974370163;300.63
340.61;92;105;119570.44;1214706.02;-1.21;94.15;18.34;75.71;10.850003459794;59.926982654710;300.54
342.41;93;106;119568.89;1214706.93;-1.20;94.06;18.30;75.70;10.849975717639;59.926990913892;300.43
344.21;94;107;119567.34;1214707.84;-1.20;93.98;18.64;75.36;10.849947946884;59.926999148614;300.33
346.01;95;108;119565.78;1214708.74;-1.19;93.87;19.43;74.57;10.849920145741;59.927007357970;300.23
347.81;96;109;119564.22;1214709.65;-1.18;93.81;19.81;74.19;10.849892315997;59.927015540149;300.12
349.61;97;110;119562.67;1214710.55;-1.17;93.58;20.61;73.39;10.849864455867;59.927023697869;300.02
351.41;98;111;119561.11;1214711.44;-1.17;93.52;21.08;72.92;10.849836568923;59.927031831129;299.92
353.21;99;112;119559.54;1214712.34;-1.16;93.48;22.76;71.24;10.849808653379;59.927039938117;299.81
355.01;100;113;119557.98;1214713.23;-1.15;93.45;23.85;70.15;10.849780707448;59.927048019740;299.71
356.81;101;114;119556.42;1214714.12;-1.14;93.39;27.37;66.63;10.849752732917;59.927056075998;299.61
358.61;102;115;119554.85;1214715.01;-1.14;93.40;30.06;63.94;10.849724731572;59.927064105984;299.50
360.41;103;116;119553.28;1214715.89;-1.13;93.39;36.43;57.57;10.849696699841;59.927072111511;299.40
362.21;104;117;119551.71;1214716.77;-1.12;93.38;38.67;55.33;10.849668641296;59.927080090766;299.30
364.01;105;118;119550.14;1214717.65;-1.11;93.36;42.08;51.92;10.849640554152;59.927088044656;299.20
365.81;106;119;119548.57;1214718.52;-1.11;93.36;45.05;48.95;10.849612436619;59.927095972274;299.09
367.61;107;120;119546.99;1214719.40;-1.10;93.36;46.33;47.67;10.849584292274;59.927103875433;298.99
369.41;108;121;119545.42;1214720.27;-1.09;93.37;48.93;45.07;10.849556121117;59.927111752321;298.89
371.21;109;122;119543.84;1214721.13;-1.08;93.37;50.11;43.89;10.849527921359;59.927119603843;298.78
373.01;110;123;119542.26;1214722.00;-1.08;93.36;52.39;41.61;10.849499693001;59.927127429093;298.68
374.81;111;124;119540.68;1214722.86;-1.07;93.39;53.50;40.50;10.849471437830;59.927135228072;298.57
376.61;112;125;119539.10;1214723.72;-1.06;93.39;55.45;38.55;10.849443154060;59.927143001686;298.47
378.41;113;126;119537.51;1214724.57;-1.05;93.30;57.19;36.81;10.849414843476;59.927150749934;298.37
380.21;114;127;119535.93;1214725.42;-1.05;93.26;57.93;36.07;10.849386506080;59.927158472817;298.27
382.01;115;128;119534.34;1214726.27;-1.04;93.26;59.08;34.92;10.849358140084;59.927166168523;298.16
383.81;116;129;119532.75;1214727.12;-1.03;93.64;59.63;34.37;10.849329747275;59.927173838862;298.06
