Advance;Hole No;hole_length;inleakage;drilling_comment;type;grouting_vc_1.0;grouting_vc_0.8;grouting_vc_0.6;pressure;grouting_comment
11;1;24;0;;Injection;855;;;36;Utg.
11;2;24;0;;Injection;55;;;50;
11;3;24;0;;Injection;51;;;50;
11;4;24;0;;Injection;43;;;50;
11;5;24;0;;Injection;48;;;50;
11;6;24;0;;Injection;44;;;50;
11;7;24;0;;Injection;8;;;50;
11;8;24;0;;Injection;43;;;50;
11;9;24;0;;Injection;45;;;50;
11;10;24;0;;Injection;236;;;50;
11;11;24;0;;Injection;402;;;50;
11;12;;;;;;;;;
11;13;24;0;;Injection;663;;;0;Utg.skjold
11;14;;;;;;;;;
11;15;24;0;;Injection;47;;;50;
11;16;24;0;;Injection;129;;;50;
11;17;24;0;;Injection;68;;;50;
11;18;24;0;;Injection;41;;;50;
11;19;24;0;;Injection;256;;;50;Gj.gang 20
11;20;24;0;;Injection;279;;;50;
11;21;24;0;;Injection;52;;;50;
11;22;24;0;;Injection;58;;;50;
11;23;24;0;;Injection;65;;;50;
11;24;24;0;;Injection;58;;;50;
15;1;24;0;;Injection;716;809;950;50;
15;2;24;0;;Injection;69;;;50;
15;3;24;0;;Injection;45;;;50;
15;4;24;0;;Injection;59;;;50;
15;5;24;0;;Injection;708;371;;50;
15;6;24;0;;Injection;60;;;40;Pakker løsnet
15;7;24;0;;Injection;13;;;50;
15;8;24;0;;Injection;119;;;50;
15;9;24;0;;Injection;1;;;50;
15;10;24;0;;Injection;733;730;795;50;
15;11;24;0;1;Injection;1180;1002;;50;Gjennomgang til hull 8
15;12;24;0;Sleppe 18 meter;Injection;406;;;50;
15;13;24;0;;Injection;188;;;50;
15;14;24;0;;Injection;205;;;50;
15;15;24;0;;Injection;12;;;50;
15;16;24;0;;Injection;240;;;5;Gjennomgang til hull 18
15;17;24;0;;Injection;9;;;2;Gjennomgang til hull 16-18
15;18;24;0;;Injection;1;;;50;
15;19;24;0;;Injection;2;;;50;
15;20;24;0;;Injection;3;;;50;
15;21;24;0;;Injection;264;;;50;
15;22;24;0;;Injection;44;;;50;
15;23;24;0;;Injection;723;712;1095;50;
15;24;24;0;;Injection;811;411;;0;Utgang i skjold
19;1;;;;;;;;;
19;2;24;0;;Injection;5;;;50;
19;3;24;0;;Injection;3;;;50;
19;4;24;0;;Injection;745;712;219;50;
19;5;24;0;;Injection;49;;;50;
19;6;24;0;;Injection;123;;;50;
19;7;24;0;;Injection;4;;;50;
19;8;24;0;;Injection;3;;;50;
19;9;24;0;;Injection;4;;;50;
19;10;24;0;;Injection;510;;;50;
19;11;24;0;;Injection;73;;;50;
19;12;24;0;;Injection;53;;;50;
19;13;24;0;;Injection;799;612;1173;50;
19;14;24;0;;Injection;799;197;;0;
19;15;24;0;;Injection;724;59;;50;
19;16;24;0;;Injection;72;;;50;
19;17;24;0;;Injection;737;47;;50;
19;18;24;0;;Injection;763;285;;50;
