date;manometer_id;pressure_bar;chainage_m;pressure_elev;dist_tbm;;;;;;;;
2024-07-11;Sensor 1;0;204.8;-1.5857;1370.61;;;;;;;;
2024-07-11;Sensor 2;3.4841;212;33.2628;1363.41;;;;;;;;
2024-07-11;Sensor 3;3.2201;255.2;30.6675;1320.21;;;;;;;;
2024-07-11;Sensor 4;8.4227;264.2;82.7071;1311.21;;;;;;;;
2024-07-12;Sensor 1;0.0013;204.8;-1.5727;1392.21;;;;;;;;
2024-07-12;Sensor 2;3.3514;212;31.9358;1385.01;;;;;;;;
2024-07-12;Sensor 3;3.2219;255.2;30.6855;1341.81;;;;;;;;
2024-07-12;Sensor 4;7.9848;264.2;78.3281;1332.81;;;;;;;;
2024-07-13;Sensor 3;3.2201;255.2;30.6675;1368.81;;;;;;;;
2024-07-13;Sensor 4;8.0955;264.2;79.4351;1359.81;;;;;;;;
2024-07-14;Sensor 3;3.2219;255.2;30.6855;1381.41;;;;;;;;
2024-07-14;Sensor 4;8.372;264.2;82.2001;1372.41;;;;;;;;
2024-07-15;Sensor 1;0.0131;204.8;-1.4547;1431.81;;;;;;;;
2024-07-15;Sensor 2;3.6887;212;35.3088;1424.61;;;;;;;;
2024-07-15;Sensor 3;3.2201;255.2;30.6675;1381.41;;;;;;;;
2024-07-15;Sensor 4;8.4484;264.2;82.9641;1372.41;;;;;;;;
2024-07-16;Sensor 10;8.1812;462.2;81.1048;1174.41;;;;;;;;
2024-07-16;Sensor 2;3.8113;212;36.5348;1424.61;;;;;;;;
2024-07-16;Sensor 3;3.2182;255.2;30.6485;1381.41;;;;;;;;
2024-07-16;Sensor 4;8.4502;264.2;82.9821;1372.41;;;;;;;;
2024-07-16;Sensor 7;8.2863;419;81.9782;1217.61;;;;;;;;
2024-07-16;Sensor 8;8.2494;426.2;81.6388;1210.41;;;;;;;;
2024-07-16;Sensor 9;8.2763;455;82.0262;1181.61;;;;;;;;
2024-07-17;Sensor 1;0;204.8;-1.5857;1431.81;;;;;;;;
2024-07-17;Sensor 10;8.18;462.2;81.0928;1174.41;;;;;;;;
2024-07-17;Sensor 2;4.0215;212;38.6368;1424.61;;;;;;;;
2024-07-17;Sensor 3;3.2201;255.2;30.6675;1381.41;;;;;;;;
2024-07-17;Sensor 4;8.4434;264.2;82.9141;1372.41;;;;;;;;
2024-07-17;Sensor 7;8.2813;419;81.9282;1217.61;;;;;;;;
2024-07-17;Sensor 9;8.2713;455;81.9762;1181.61;;;;;;;;
