manometer_id;name;chainage_m;manometer_elev
Sensor 1;Ring 0016;203.81;-1.59
Sensor 2;Ring 0020;211.01;-1.58
Sensor 3;Ring 0044;254.21;-1.53
Sensor 4;Ring 0049;263.21;-1.52
Sensor 5;Ring 0084;326.21;-1.26
Sensor 6;Ring 0086;329.81;-1.25
Sensor 7;Ring 0135;418.01;-0.88
Sensor 8;Ring 0139;425.21;-0.86
Sensor 9;Ring 0155;454.01;-0.74
Sensor 10;Ring 0159;461.21;-0.71
Sensor 11;Ring 0788;1593.41;3.95
Sensor 12;Ring 0790;1597.01;3.96
Sensor 13;Ring 0855;1714.01;4.44
Sensor 14;Ring 0859;1721.21;4.47
Sensor 15;Ring 0905;1804.01;4.81
Sensor 16;Ring 0909;1811.21;4.84
Sensor 17;Ring 0943;1872.41;5.09
Sensor 18;Ring 0947;1879.61;5.12
Sensor 19;Ring 0981;1940.81;5.37
Sensor 20;Ring 0985;1948.01;5.40
Sensor 21;Ring 1047;2059.61;5.86
Sensor 22;Ring 1051;2066.81;5.89
Sensor 23;Ring 1099;2153.21;6.25
Sensor 24;Ring 1103;2160.41;6.28
Sensor 25;Ring 0289;695.21;0.25
Sensor 26;Ring 0293;702.41;0.28
Sensor 27;Ring 0478;1035.41;1.65
Sensor 28;Ring 0475;1030.01;1.63
Sensor 29;Ring 0607;1267.61;2.61
Sensor 30;Ring 0611;1274.81;2.64
Sensor 31;Ring 1169;2279.21;6.76
Sensor 32;Ring 1173;2286.41;6.79
Sensor 33;Ring 1231;2390.81;7.22
Sensor 34;Ring 1235;2398.01;7.25
Sensor 35;Ring 1243;2412.41;7.31
Sensor 36;Ring 1247;2419.61;7.34
Sensor 37;Ring 0727;1483.61;3.49
Sensor 38;Ring 0731;1490.81;3.52
Sensor 40;Ring 0671;1382.81;3.08
Sensor 41;Ring 0537;1141.61;2.09
Sensor 42;Ring 0541;1148.81;2.12
Sensor 43;Ring 0367;835.61;0.83
Sensor 44;Ring 0370;841.01;0.85
Sensor 45;Ring 0397;889.61;1.05
Sensor 46;Ring 0401;896.81;1.08
Sensor 47;Ring 1283;2484.41;7.61
Sensor 48;Ring 1287;2491.61;7.64
Sensor 49;Ring 1449;2783.21;8.83
Sensor 50;Ring 1454;2792.21;8.87
Sensor 51;Ring 1547;2959.61;9.56
Sensor 52;Ring 1551;2966.81;9.59
Sensor 53;Ring 1633;3114.41;10.20
Sensor 54;Ring 1637;3121.61;10.23
Sensor 55;Ring 1698;3231.41;10.68
Sensor 56;Ring 1703;3240.41;10.71
Sensor 57;Ring 1763;3348.41;11.16
Sensor 58;Ring 1767;3355.61;11.19
Sensor 59;Ring 1771;3362.81;11.22
Sensor 60;Ring 1775;3370.01;11.25
Sensor 61;Ring 1833;3474.41;11.68
Sensor 62;Ring 1837;3481.61;11.70
Sensor 63;Ring 1891;3578.81;12.10
