area;method;id;partID;x;y;z;lon;lat;depth;height_probe;soil_classification
1;Løsmasseboring;190;350563;120308.2;1214750.6;140.9;10.863191;59.927433;5.1;135.8;Over berg, leirig sand
5;Løsmasseboring;922;350561;114893.5;1216226.8;84.4;10.766402;59.940806;7.8;76.6;Sandig leirig
5;Løsmasseboring;941;350137;114945.2;1216266.0;83.5;10.767326;59.941161;4.5;79.0;Overg berg, leire overgang grus/sand
1;Løsmasseboring;15-1;350564;120436.8;1214752.4;148.6;10.865490;59.927450;11.0;137.6;Sand
1;Løsmasseboring;15-2;350565;120436.8;1214752.4;148.6;10.865490;59.927450;5.1;143.5;Leirig sand
7;Løsmasseboring;2101PZ;;110152.4;1216081.7;86.0;10.681655;59.939491;4.1;81.9;Over berg, grus/stein
2;Løsmasseboring;362-1;345716;118903.0;1215019.2;97.9;10.838072;59.929866;37.7;60.2;Over berg, siltig leire
2;Løsmasseboring;362-2;348170;118903.0;1215019.2;97.9;10.838072;59.929866;25.0;72.9;Sandig leire
3;Løsmasseboring;571-1;350558;117927.1;1215461.6;120.7;10.820628;59.933874;10.0;110.7;Over berg, sand/grus
3;Løsmasseboring;571-2;350556;117927.1;1215461.6;120.7;10.820628;59.933874;5.0;115.7;Leire siltig sandig
3;Løsmasseboring;580-1;348814;117478.4;1215674.2;127.5;10.812607;59.935800;24.9;102.6;Siltig leire
3;Løsmasseboring;580-2;350557;117478.4;1215674.2;127.5;10.812607;59.935800;5.0;122.5;Siltig sandig leire
4,1;Løsmasseboring;712-1;350555;116015.4;1216317.7;119.9;10.786456;59.941629;14.9;105.0;Over berg, sand/grus
4,1;Løsmasseboring;712-2;350570;116015.4;1216317.7;119.9;10.786456;59.941629;7.0;112.9;Siltig leire
5;Bergboring;HB3020;;113490.8;1215999.0;76.7;10.741329;59.938743;14.0;62.7;Berg
5;Bergboring;HB3120-1;;113997.4;1216007.6;75.0;10.750384;59.938820;26.0;49.4;Berg
5;Bergboring;HB3120-2;;113997.4;1216007.6;75.0;10.750384;59.938820;22.0;53.4;Berg
7;Bergboring;HB3220-1;;109634.0;1216144.0;95.0;10.672388;59.940056;26.5;68.5;Berg
7;Bergboring;HB3220-2;;109634.0;1216144.0;95.0;10.672388;59.940056;14.5;80.5;Berg
7;Bergboring;HB3320;;111860.0;1216148.0;74.3;10.712178;59.940092;19.0;55.3;Berg
6;Bergboring;HB3520-1;;112116.0;1216241.0;81.0;10.716754;59.940935;26.4;54.6;Berg
6;Bergboring;HB3520-2;;112116.0;1216241.0;81.0;10.716754;59.940935;26.4;54.6;Berg
6;Bergboring;HB3620;;111945.0;1216272.0;81.7;10.713698;59.941216;19.0;62.7;Berg
2;Bergboring;HB-3720;37273;119325.0;1214921.6;96.7;10.845616;59.928982;16.2;80.5;Borehull i berg
4,1;Bergboring;HB-3820;42891;115998.0;1216260.6;118.4;10.786145;59.941112;23.7;94.7;Berg
2;Bergboring;HB-3920;37165;119568.8;1214703.6;;10.849974;59.927008;;;Borehull i berg
2;Bergboring;HB-4020;37190;119582.2;1214699.5;;10.850213;59.926970;;;Borehull i berg
2;Bergboring;HB-4120; ;119596.0;1214699.9;93.3;10.850460;59.926974;10.0;83.3;Borehull i berg
2;Bergboring;HB-4220;37275;119607.6;1214694.8;92.9;10.850668;59.926927;17.0;75.9;Borehull i berg
2;Bergboring;HB-4320;42914;119625.5;1214687.3;92.9;10.850987;59.926860;12.6;80.3;Borehull i berg
2;Bergboring;HB-4420;47439;119638.3;1214679.1;93.1;10.851216;59.926785;10.0;83.1;Borehull i berg
2;Bergboring;HB-4520; ;119667.9;1214661.4;93.6;10.851746;59.926625;10.0;83.6;Borehull i berg
3;Bergboring;HB-4620;46949;116989.9;1215958.7;144.0;10.803875;59.938378;28.0;116.0;Berg
5;Bergboring;HB-4720;36915;114800.0;1216194.3;90.0;10.764732;59.940512;38.8;51.2;Berg
1;Bergboring;HB-4820; ;120706.4;1213882.7;;10.870308;59.919571;;;Berg
1;Bergboring;HB-4920; ;120707.0;1213881.8;;10.870320;59.919562;;;Berg
;Bergboring;HB-5021;;112885.1;1216022.4;;10.730502;59.938954;;;
5;Bergboring;HB-5121;37282;114450.0;1216065.0;73.2;10.758475;59.939340;37.0;36.2;Berg
5;Bergboring;HB-5121-2;;114450.0;1216065.0;73.2;10.758475;59.939340;20.0;53.2;Berg
2;Bergboring;K-1420;37058;119826.8;1214576.4;99.7;10.854585;59.925855;15.5;84.2;Berg
2;Bergboring;K-1520;37141;119833.3;1214570.8;100.3;10.854702;59.925804;15.5;84.8;Berg
2;Bergboring;K-1620;35897;119214.6;1214839.0;84.3;10.843643;59.928234;7.0;77.3;Borehull i berg
2;Bergboring;K-1720;43231;118315.5;1215264.9;116.3;10.827571;59.932092;17.2;99.1;Berg
2;Bergboring;K-1820;49001;118277.3;1215259.8;119.2;10.826889;59.932046;17.0;102.2;Berg
3;Bergboring;K-1920;42804;117659.5;1215575.5;125.3;10.815845;59.934906;23.0;102.3;Berg
3;Bergboring;K-2020;47038;116855.6;1215923.1;143.1;10.801476;59.938055;31.4;111.8;Berg
8;Bergboring;K-2120;42882;116670.1;1217329.7;216.2;10.798159;59.950797;38.0;178.2;Berg
4,1;Bergboring;K-2220; ;115891.5;1216329.9;118.7;10.784242;59.941740;;;Berg
5;Bergboring;K-2320;43229;114913.5;1216215.2;;10.766760;59.940701;32.0;;Berg
5;Bergboring;K-2620;37204;113942.5;1215889.1;72.6;10.749404;59.937747;15.5;57.1;Berg
6;Bergboring;K-2720;46744;112864.0;1216112.9;92.6;10.730125;59.939774;17.5;75.1;Berg
7;Bergboring;K-2820;37042;111663.3;1215892.3;71.9;10.708662;59.937776;17.0;54.9;Berg
7;Bergboring;K-2920;42894;110417.7;1216134.4;79.0;10.686397;59.939969;16.1;62.9;Berg
1;Bergboring;K-3021;46627;120445.5;1213851.4;201.2;10.865646;59.919287;35.0;166.2;Berg
7;Løsmasseboring;PZ01;;109304.3;1216335.9;116.4;10.666495;59.941794;10.7;105.7;Ukjent
7;Løsmasseboring;PZ02;;109118.3;1216080.9;128.0;10.663170;59.939484;2.4;125.6;Ukjent
7;Løsmasseboring;PZ03;;109288.1;1216135.6;120.1;10.666205;59.939980;8.3;111.8;Ukjent
7;Løsmasseboring;PZ04;;108692.7;1216095.6;134.0;10.655563;59.939618;10.4;123.6;Ukjent
7;Løsmasseboring;PZ05;;108918.1;1215980.3;147.1;10.659592;59.938573;1.2;145.9;Ukjent
7;Løsmasseboring;PZ12-1;;108756.7;1216330.3;139.1;10.656707;59.941744;12.7;126.4;Ukjent
7;Løsmasseboring;PZ12-2;;108756.7;1216330.3;139.1;10.656707;59.941744;7.7;131.4;Ukjent
5;Løsmasseboring;PZ1401-1;;113168.2;1215734.8;72.5;10.735562;59.936349;24.7;47.9;Over berg, leire
5;Løsmasseboring;PZ1401-2;;113168.2;1215734.8;72.5;10.735562;59.936349;12.0;60.5;Leire
6;Løsmasseboring;PZ1502;;112740.3;1216071.1;87.2;10.727914;59.939395;6.5;80.7;Over berg, leire sandig
6;Løsmasseboring;PZ1602-1;;112254.6;1216170.7;89.0;10.719231;59.940298;12.0;77.0;Over berg, leire
6;Løsmasseboring;PZ1602-2;;112254.6;1216170.7;89.0;10.719231;59.940298;7.0;82.0;Leire
6;Løsmasseboring;PZ1701-1;;112046.4;1216437.5;90.6;10.715509;59.942715;35.4;55.2;Over berg, leire
6;Løsmasseboring;PZ1701-2;;112046.4;1216437.5;90.6;10.715509;59.942715;15.0;75.6;Leire
7;Løsmasseboring;PZ2003-1;;110537.9;1216005.9;68.6;10.688546;59.938805;15.0;53.7;Over berg, leire sandig
7;Løsmasseboring;PZ2003-2;;110537.9;1216005.9;68.6;10.688546;59.938805;5.0;63.6;Leire sandig
5;Løsmasseboring;PZ-2203-1;18521;114565.1;1216036.1;77.1;10.760532;59.939079;25.1;52.0;Sandig leire
5;Løsmasseboring;PZ-2203-2;42921;114565.1;1216036.1;77.1;10.760532;59.939079;10.2;66.9;Siltig leire
5;Løsmasseboring;PZ-2207-1;18621;114767.0;1216392.4;89.6;10.764141;59.942306;25.0;64.6;Leirig sand/grus
5;Løsmasseboring;PZ-2207-2;43021;114767.0;1216392.4;89.6;10.764141;59.942306;10.0;79.6;Sandig leire
4,2;Løsmasseboring;PZ-2211; ;115445.3;1216404.9;101.1;10.776266;59.942419;12.0;89.1;Over berg, leirig sand/grus
4,2;Løsmasseboring;PZ-2211; ;115445.3;1216404.9;101.1;10.776266;59.942419;6.0;95.1;Sandig leire
