chainage;advance;ring;Color; S; U;NP:AP;Fe:S;Ca;Fe;Al;K;Si;Ti;Mg
175.01;0;13;;;;;;;;;;;;
176.81;1;14;;;;;;;;;;;;
178.61;2;15;;;;;;;;;;;;
180.41;3;16;;;;;;;;;;;;
182.21;4;17;;;;;;;;;;;;
184.01;5;18;;;;;;;;;;;;
185.81;6;19;;;;;;;;;;;;
187.61;7;20;;;;;;;;;;;;
189.41;8;21;;;;;;;;;;;;
191.21;9;22;;;;;;;;;;;;
193.01;10;23;;;;;;;;;;;;
194.81;11;24;;;;;;;;;;;;
196.61;12;25;;;;;;;;;;;;
198.41;13;26;;;;;;;;;;;;
200.21;14;27;;;;;;;;;;;;
202.01;15;28;;;;;;;;;;;;
203.81;16;29;;;;;;;;;;;;
205.61;17;30;;;;;;;;;;;;
207.41;18;31;;;;;;;;;;;;
209.21;19;32;;;;;;;;;;;;
211.01;20;33;;;;;;;;;;;;
212.81;21;34;;;;;;;;;;;;
214.61;22;35;;;;;;;;;;;;
216.41;23;36;;;;;;;;;;;;
218.21;24;37;;;;;;;;;;;;
220.01;25;38;;;;;;;;;;;;
221.81;26;39;;;;;;;;;;;;
223.61;27;40;;;;;;;;;;;;
225.41;28;41;;;;;;;;;;;;
227.21;29;42;;;;;;;;;;;;
229.01;30;43;;;;;;;;;;;;
230.81;31;44;;;;;;;;;;;;
232.61;32;45;;;;;;;;;;;;
234.41;33;46;;;;;;;;;;;;
236.21;34;47;;;;;;;;;;;;
238.01;35;48;;;;;;;;;;;;
239.81;36;49;;;;;;;;;;;;
241.61;37;50;;;;;;;;;;;;
243.41;38;51;;;;;;;;;;;;
245.21;39;52;;;;;;;;;;;;
247.01;40;53;;;;;;;;;;;;
248.81;41;54;;;;;;;;;;;;
250.61;42;55;;;;;;;;;;;;
252.41;43;56;;;;;;;;;;;;
254.21;44;57;;;;;;;;;;;;
256.01;45;58;;;;;;;;;;;;
257.81;46;59;;;;;;;;;;;;
259.61;47;60;;;;;;;;;;;;
261.41;48;61;;;;;;;;;;;;
263.21;49;62;;;;;;;;;;;;
265.01;50;63;;;;;;;;;;;;
266.81;51;64;;;;;;;;;;;;
268.61;52;65;;;;;;;;;;;;
270.41;53;66;;;;;;;;;;;;
272.21;54;67;;;;;;;;;;;;
274.01;55;68;;;;;;;;;;;;
275.81;56;69;;;;;;;;;;;;
277.61;57;70;;;;;;;;;;;;
279.41;58;71;;;;;;;;;;;;
281.21;59;72;;;;;;;;;;;;
283.01;60;73;;;;;;;;;;;;
